Date;P;D;E;CPI
01.01.1977;103,80;4,10;9,97;58,50
01.02.1977;101,00;4,14;10,02;59,10
01.03.1977;100,60;4,19;10,08;59,50
01.04.1977;99,05;4,25;10,19;60,00
01.05.1977;98,76;4,30;10,31;60,30
01.06.1977;99,29;4,36;10,42;60,70
01.07.1977;100,20;4,41;10,52;61,00
01.08.1977;97,75;4,45;10,61;61,20
01.09.1977;96,23;4,50;10,71;61,40
01.10.1977;93,74;4,56;10,77;61,60
01.11.1977;94,28;4,61;10,83;61,90
01.12.1977;93,82;4,67;10,89;62,10
01.01.1978;90,25;4,71;10,90;62,50
01.02.1978;88,98;4,76;10,91;62,90
01.03.1978;88,82;4,80;10,92;63,40
01.04.1978;92,71;4,84;11,02;63,90
01.05.1978;97,41;4,87;11,13;64,50
01.06.1978;97,66;4,91;11,23;65,20
01.07.1978;97,19;4,95;11,34;65,70
01.08.1978;103,90;4,98;11,46;66,00
01.09.1978;103,90;5,02;11,57;66,50
01.10.1978;100,60;5,04;11,82;67,10
01.11.1978;94,71;5,05;12,08;67,40
01.12.1978;96,11;5,07;12,33;67,70
01.01.1979;99,71;5,11;12,65;68,30
01.02.1979;98,23;5,16;12,98;69,10
01.03.1979;100,10;5,20;13,30;69,80
01.04.1979;102,10;5,25;13,53;70,60
01.05.1979;99,73;5,29;13,75;71,50
01.06.1979;101,70;5,34;13,98;72,30
01.07.1979;102,70;5,40;14,20;73,10
01.08.1979;107,40;5,45;14,41;73,80
01.09.1979;108,60;5,51;14,63;74,60
01.10.1979;104,50;5,56;14,71;75,20
01.11.1979;103,70;5,60;14,78;75,90
01.12.1979;107,80;5,65;14,86;76,70
01.01.1980;110,90;5,70;15,00;77,80
01.02.1980;115,30;5,75;15,15;78,90
01.03.1980;104,70;5,80;15,29;80,10
01.04.1980;103,00;5,85;15,17;81,00
01.05.1980;107,70;5,89;15,06;81,80
01.06.1980;114,60;5,94;14,94;82,70
01.07.1980;119,80;5,98;14,84;82,70
01.08.1980;123,50;6,03;14,74;83,30
01.09.1980;126,50;6,07;14,64;84,00
01.10.1980;130,20;6,10;14,70;84,80
01.11.1980;135,70;6,13;14,76;85,50
01.12.1980;133,50;6,16;14,82;86,30
01.01.1981;133,00;6,20;14,74;87,00
01.02.1981;128,40;6,24;14,66;87,90
01.03.1981;133,20;6,28;14,58;88,50
01.04.1981;134,40;6,32;14,72;89,10
01.05.1981;131,70;6,35;14,87;89,80
01.06.1981;132,30;6,39;15,01;90,60
01.07.1981;129,10;6,43;15,10;91,60
01.08.1981;129,60;6,48;15,18;92,30
01.09.1981;118,30;6,52;15,27;93,20
01.10.1981;119,80;6,56;15,30;93,40
01.11.1981;122,90;6,59;15,33;93,70
01.12.1981;123,80;6,63;15,36;94,00
01.01.1982;117,30;6,66;15,18;94,30
01.02.1982;114,50;6,69;14,99;94,60
01.03.1982;110,80;6,72;14,81;94,50
01.04.1982;116,30;6,75;14,60;94,90
01.05.1982;116,40;6,78;14,38;95,80
01.06.1982;109,70;6,81;14,17;97,00
01.07.1982;109,40;6,82;13,97;97,50
01.08.1982;109,70;6,84;13,76;97,70
01.09.1982;122,40;6,85;13,56;97,90
01.10.1982;132,70;6,86;13,25;98,20
01.11.1982;138,10;6,86;12,95;98,00
01.12.1982;139,40;6,87;12,64;97,60
01.01.1983;144,30;6,88;12,57;97,80
01.02.1983;146,80;6,90;12,49;97,90
01.03.1983;151,90;6,91;12,42;97,90
01.04.1983;157,70;6,92;12,48;98,60
01.05.1983;164,10;6,93;12,53;99,20
01.06.1983;166,40;6,94;12,59;99,50
01.07.1983;167,00;6,96;12,83;99,90
01.08.1983;162,40;6,98;13,06;100,20
01.09.1983;167,20;7,00;13,30;100,70
01.10.1983;167,70;7,03;13,54;101,00
01.11.1983;165,20;7,06;13,79;101,20
01.12.1983;164,40;7,09;14,03;101,30
01.01.1984;166,40;7,12;14,44;101,90
01.02.1984;157,30;7,15;14,85;102,40
01.03.1984;157,40;7,18;15,26;102,60
01.04.1984;157,60;7,22;15,57;103,10
01.05.1984;156,60;7,27;15,89;103,40
01.06.1984;153,10;7,31;16,20;103,70
01.07.1984;151,10;7,33;16,32;104,10
01.08.1984;164,40;7,36;16,44;104,50
01.09.1984;166,10;7,38;16,56;105,00
01.10.1984;164,80;7,43;16,59;105,30
01.11.1984;166,30;7,48;16,61;105,30
01.12.1984;164,50;7,53;16,64;105,30
01.01.1985;171,60;7,57;16,56;105,50
01.02.1985;180,90;7,62;16,47;106,00
01.03.1985;179,40;7,66;16,39;106,40
01.04.1985;180,60;7,69;16,13;106,90
01.05.1985;184,90;7,71;15,87;107,30
01.06.1985;188,90;7,74;15,61;107,60
01.07.1985;192,50;7,77;15,48;107,80
01.08.1985;188,30;7,81;15,36;108,00
01.09.1985;184,10;7,84;15,23;108,30
01.10.1985;186,20;7,86;15,02;108,70
01.11.1985;197,50;7,88;14,82;109,00
01.12.1985;207,30;7,90;14,61;109,30
01.01.1986;208,20;7,94;14,58;109,60
01.02.1986;219,40;7,98;14,55;109,30
01.03.1986;232,30;8,02;14,52;108,80
01.04.1986;238,00;8,05;14,58;108,60
01.05.1986;238,50;8,07;14,65;108,90
01.06.1986;245,30;8,10;14,71;109,50
01.07.1986;240,20;8,14;14,76;109,50
01.08.1986;245,00;8,19;14,80;109,70
01.09.1986;238,30;8,23;14,85;110,20
01.10.1986;237,40;8,25;14,73;110,30
01.11.1986;245,10;8,26;14,60;110,40
01.12.1986;248,60;8,28;14,48;110,50
01.01.1987;264,50;8,30;14,69;111,20
01.02.1987;280,90;8,32;14,89;111,60
01.03.1987;292,50;8,34;15,10;112,10
01.04.1987;289,30;8,40;14,87;112,70
01.05.1987;289,10;8,46;14,65;113,10
01.06.1987;301,40;8,52;14,42;113,50
01.07.1987;310,10;8,57;14,90;113,80
01.08.1987;329,40;8,61;15,38;114,40
01.09.1987;318,70;8,66;15,86;115,00
01.10.1987;280,20;8,71;16,41;115,30
01.11.1987;245,00;8,76;16,95;115,40
01.12.1987;241,00;8,81;17,50;115,40
01.01.1988;250,50;8,86;17,86;115,70
01.02.1988;258,10;8,90;18,23;116,00
01.03.1988;265,70;8,95;18,59;116,50
01.04.1988;262,60;9,04;19,62;117,10
01.05.1988;256,10;9,14;20,64;117,50
01.06.1988;270,70;9,23;21,67;118,00
01.07.1988;269,10;9,31;22,02;118,50
01.08.1988;263,70;9,38;22,38;119,00
01.09.1988;268,00;9,46;22,73;119,80
01.10.1988;277,40;9,55;23,07;120,20
01.11.1988;271,00;9,64;23,42;120,30
01.12.1988;276,50;9,75;23,75;120,50
01.01.1989;285,40;9,81;24,16;121,10
01.02.1989;294,00;9,90;24,56;121,60
01.03.1989;292,70;10,01;24,96;122,30
01.04.1989;302,30;10,09;25,05;123,10
01.05.1989;313,90;10,19;25,13;123,80
01.06.1989;323,70;10,37;25,22;124,10
01.07.1989;331,90;10,42;24,71;124,40
01.08.1989;346,60;10,55;24,20;124,60
01.09.1989;347,30;10,73;23,69;125,00
01.10.1989;347,40;10,80;23,43;125,60
01.11.1989;340,20;10,92;23,16;125,90
01.12.1989;348,60;11,06;22,87;126,10
01.01.1990;339,97;11,14;22,49;127,40
01.02.1990;330,45;11,23;22,08;128,00
01.03.1990;338,46;11,32;21,67;128,70
01.04.1990;338,18;11,44;21,53;128,90
01.05.1990;350,25;11,55;21,40;129,20
01.06.1990;360,39;11,66;21,26;129,90
01.07.1990;360,03;11,73;21,42;130,40
01.08.1990;330,75;11,78;21,58;131,60
01.09.1990;315,41;11,83;21,74;132,70
01.10.1990;307,12;11,93;21,61;133,50
01.11.1990;315,29;12,01;21,47;133,80
01.12.1990;328,75;12,09;21,34;133,80
01.01.1991;325,49;12,11;21,18;134,60
01.02.1991;362,26;12,11;21,03;134,80
01.03.1991;372,28;12,11;20,94;135,00
01.04.1991;379,68;12,13;20,36;135,20
01.05.1991;377,99;12,14;19,86;135,60
01.06.1991;378,29;12,15;19,41;136,00
01.07.1991;380,23;12,19;18,84;136,20
01.08.1991;389,40;12,24;18,33;136,60
01.09.1991;387,20;12,28;17,82;137,20
01.10.1991;386,88;12,25;17,20;137,40
01.11.1991;385,92;12,23;16,59;137,80
01.12.1991;388,51;12,20;15,97;137,90
01.01.1992;416,08;12,24;16,05;138,10
01.02.1992;412,56;12,28;16,12;138,60
01.03.1992;407,36;12,32;16,19;139,30
01.04.1992;407,41;12,32;16,48;139,50
01.05.1992;414,81;12,32;16,77;139,70
01.06.1992;408,27;12,32;17,05;140,20
01.07.1992;415,05;12,34;17,38;140,50
01.08.1992;417,93;12,37;17,71;140,90
01.09.1992;418,48;12,40;18,04;141,30
01.10.1992;412,50;12,39;18,39;141,80
01.11.1992;422,84;12,38;18,74;142,00
01.12.1992;435,64;12,39;19,09;141,90
01.01.1993;435,23;12,41;19,34;142,60
01.02.1993;441,70;12,45;19,59;143,10
01.03.1993;450,16;12,48;19,84;143,60
01.04.1993;443,08;12,49;19,67;144,00
01.05.1993;445,25;12,51;19,50;144,20
01.06.1993;448,06;12,52;19,33;144,40
01.07.1993;447,29;12,52;19,69;144,40
01.08.1993;454,13;12,52;20,05;144,80
01.09.1993;459,24;12,52;20,41;145,10
01.10.1993;463,90;12,54;20,90;145,70
01.11.1993;462,89;12,56;21,39;145,80
01.12.1993;465,95;12,58;21,89;145,80
01.01.1994;472,99;12,62;22,16;146,20
01.02.1994;471,58;12,67;22,43;146,70
01.03.1994;463,81;12,71;22,71;147,20
01.04.1994;447,23;12,75;23,54;147,40
01.05.1994;450,90;12,80;24,37;147,50
01.06.1994;454,83;12,84;25,20;148,00
01.07.1994;451,40;12,87;25,91;148,40
01.08.1994;464,24;12,90;26,62;149,00
01.09.1994;466,96;12,92;27,33;149,40
01.10.1994;463,81;13,01;28,42;149,50
01.11.1994;461,01;13,10;29,51;149,70
01.12.1994;455,19;13,17;30,60;149,70
01.01.1995;465,25;13,18;31,25;150,30
01.02.1995;481,92;13,18;31,90;150,90
01.03.1995;493,15;13,17;32,55;151,40
01.04.1995;507,91;13,24;33,18;151,90
01.05.1995;523,81;13,31;33,80;152,20
01.06.1995;539,35;13,36;34,43;152,50
01.07.1995;557,37;13,44;34,68;152,50
01.08.1995;559,11;13,51;34,93;152,90
01.09.1995;578,77;13,58;35,18;153,20
01.10.1995;582,92;13,65;34,77;153,70
01.11.1995;595,53;13,72;34,37;153,60
01.12.1995;614,57;13,79;33,96;153,50
01.01.1996;614,42;13,89;33,99;154,40
01.02.1996;649,54;14,00;34,01;154,90
01.03.1996;647,07;14,10;34,04;155,70
01.04.1996;647,17;14,16;34,33;156,30
01.05.1996;661,23;14,21;34,62;156,60
01.06.1996;668,50;14,27;34,91;156,70
01.07.1996;644,07;14,40;35,27;157,00
01.08.1996;662,68;14,53;35,64;157,30
01.09.1996;674,88;14,66;36,00;157,80
01.10.1996;701,46;14,74;36,91;158,30
01.11.1996;735,67;14,82;37,82;158,60
01.12.1996;743,25;14,90;38,73;158,60
01.01.1997;766,22;14,95;39,23;159,10
01.02.1997;798,39;15,01;39,74;159,60
01.03.1997;792,16;15,06;40,24;160,00
01.04.1997;763,93;15,09;40,34;160,20
01.05.1997;833,09;15,13;40,45;160,10
01.06.1997;876,29;15,16;40,55;160,30
01.07.1997;925,29;15,22;40,58;160,50
01.08.1997;927,24;15,27;40,61;160,80
01.09.1997;937,02;15,33;40,64;161,20
01.10.1997;951,16;15,39;40,33;161,60
01.11.1997;938,92;15,44;40,03;161,50
01.12.1997;962,37;15,50;39,72;161,30
01.01.1998;963,36;15,55;39,66;161,60
01.02.1998;1023,74;15,60;39,60;161,90
01.03.1998;1076,83;15,64;39,54;162,20
01.04.1998;1112,20;15,75;39,35;162,50
01.05.1998;1108,42;15,85;39,16;162,80
01.06.1998;1108,39;15,95;38,97;163,00
01.07.1998;1156,58;16,02;38,68;163,20
01.08.1998;1074,62;16,08;38,38;163,40
01.09.1998;1020,64;16,14;38,09;163,60
01.10.1998;1032,47;16,17;37,96;164,00
01.11.1998;1144,43;16,18;37,84;164,00
01.12.1998;1190,05;16,20;37,71;163,90
01.01.1999;1248,77;16,28;37,93;164,30
01.02.1999;1246,58;16,37;38,16;164,50
01.03.1999;1281,66;16,45;38,38;165,00
01.04.1999;1334,76;16,45;39,26;166,20
01.05.1999;1332,07;16,45;40,14;166,20
01.06.1999;1322,55;16,45;41,02;166,20
01.07.1999;1380,99;16,51;42,00;166,70
01.08.1999;1327,49;16,58;42,98;167,10
01.09.1999;1318,17;16,64;43,96;167,90
01.10.1999;1300,01;16,66;45,36;168,20
01.11.1999;1391,00;16,67;46,77;168,30
01.12.1999;1428,68;16,69;48,17;168,30
01.01.2000;1425,59;16,71;49,10;168,80
01.02.2000;1388,87;16,74;50,02;169,80
01.03.2000;1442,21;16,76;50,95;171,20
01.04.2000;1461,36;16,74;51,27;171,30
01.05.2000;1418,48;16,72;51,60;171,50
01.06.2000;1461,96;16,70;51,92;172,40
01.07.2000;1473,00;16,58;52,51;172,80
01.08.2000;1485,46;16,47;53,11;172,80
01.09.2000;1468,05;16,35;53,70;173,70
01.10.2000;1390,14;16,32;52,47;174,00
01.11.2000;1378,04;16,30;51,23;174,10
01.12.2000;1330,93;16,27;50,00;174,00
01.01.2001;1335,63;16,17;48,48;175,10
01.02.2001;1305,75;16,07;46,96;175,80
01.03.2001;1185,85;15,97;45,44;176,20
01.04.2001;1189,84;15,88;42,56;176,90
01.05.2001;1270,37;15,78;39,67;177,70
01.06.2001;1238,71;15,69;36,79;178,00
01.07.2001;1204,45;15,71;33,96;177,50
01.08.2001;1178,50;15,72;31,14;177,50
01.09.2001;1044,64;15,74;28,31;178,30
01.10.2001;1076,59;15,74;27,10;177,70
01.11.2001;1129,68;15,74;25,90;177,40
01.12.2001;1144,93;15,74;24,69;176,70
01.01.2002;1140,21;15,74;24,69;177,10
01.02.2002;1100,67;15,73;24,70;177,80
01.03.2002;1153,79;15,73;24,70;178,80
01.04.2002;1111,93;15,83;25,38;179,80
01.05.2002;1079,25;15,94;26,06;179,80
01.06.2002;1014,02;16,04;26,74;179,90
01.07.2002;903,59;15,96;27,84;180,10
01.08.2002;912,55;15,88;28,94;180,70
01.09.2002;867,81;15,80;30,04;181,00
01.10.2002;854,63;15,89;29,22;181,30
01.11.2002;909,93;15,98;28,41;181,30
01.12.2002;899,18;16,07;27,59;180,90
01.01.2003;895,84;16,12;28,50;181,70
01.02.2003;837,03;16,17;29,41;183,10
01.03.2003;846,63;16,22;30,32;184,20
01.04.2003;890,03;16,20;31,73;183,80
01.05.2003;935,96;16,19;33,14;183,50
01.06.2003;988,00;16,17;34,55;183,70
01.07.2003;992,54;16,31;35,89;183,90
01.08.2003;989,53;16,45;37,24;184,60
01.09.2003;1019,44;16,59;38,58;185,20
01.10.2003;1038,73;16,86;41,97;185,00
01.11.2003;1049,90;17,12;45,35;184,50
01.12.2003;1080,64;17,39;48,74;184,30
01.01.2004;1132,52;17,60;49,83;185,20
01.02.2004;1143,36;17,81;50,91;186,20
01.03.2004;1123,98;18,02;52,00;187,40
01.04.2004;1133,36;18,21;53,38;188,00
01.05.2004;1102,78;18,41;54,77;189,10
01.06.2004;1132,76;18,60;56,15;189,70
01.07.2004;1105,85;18,79;56,69;189,40
01.08.2004;1088,94;18,97;57,23;189,50
01.09.2004;1117,66;19,16;57,77;189,90
01.10.2004;1117,21;19,25;58,03;190,90
01.11.2004;1168,94;19,35;58,29;191,00
01.12.2004;1199,21;19,44;58,55;190,30
01.01.2005;1181,41;19,70;59,11;190,70
01.02.2005;1199,63;19,97;59,66;191,80
01.03.2005;1194,90;20,23;60,22;193,30
01.04.2005;1164,43;20,46;61,23;194,60
01.05.2005;1178,28;20,70;62,25;194,40
01.06.2005;1202,25;20,93;63,26;194,50
01.07.2005;1222,24;21,11;64,33;195,40
01.08.2005;1224,27;21,29;65,40;196,40
01.09.2005;1225,92;21,47;66,47;198,80
01.10.2005;1191,96;21,72;67,59;199,20
01.11.2005;1237,37;21,97;68,71;197,60
01.12.2005;1262,07;22,22;69,83;196,80
01.01.2006;1278,73;22,41;70,78;198,30
01.02.2006;1276,65;22,59;71,72;198,70
01.03.2006;1293,74;22,78;72,67;199,80
01.04.2006;1302,17;23,00;73,28;201,50
01.05.2006;1290,01;23,22;73,88;202,50
01.06.2006;1253,17;23,44;74,49;202,90
01.07.2006;1260,24;23,66;75,85;203,50
01.08.2006;1287,15;23,88;77,21;203,90
01.09.2006;1317,74;24,10;78,57;202,90
01.10.2006;1363,38;24,36;79,55;201,80
01.11.2006;1388,64;24,62;80,53;201,50
01.12.2006;1416,42;24,88;81,51;201,80
01.01.2007;1424,16;25,08;82,06;202,416
01.02.2007;1444,80;25,29;82,60;203,499
01.03.2007;1406,95;25,49;83,15;205,352
01.04.2007;1463,64;25,72;83,74;206,686
01.05.2007;1511,14;25,94;84,33;207,949
01.06.2007;1514,19;26,17;84,92;208,352
01.07.2007;1520,71;26,44;82,81;208,299
01.08.2007;1454,62;26,71;80,71;207,917
01.09.2007;1497,12;26,98;78,60;208,49
01.10.2007;1539,66;27,23;74,46;208,936
01.11.2007;1463,39;27,48;70,32;210,177
01.12.2007;1479,22;27,73;66,18;210,036
01.01.2008;1378,76;27,92;64,25;211,08
01.02.2008;1354,87;28,11;62,32;211,693
01.03.2008;1316,94;28,3;60,39;213,528
01.04.2008;1370,47;28,44;57,38;214,823
01.05.2008;1403,22;28,57;54,38;216,632
01.06.2008;1341,25;28,71;51,37;218,815
01.07.2008;1257,33;28,76;49,56;219,964
01.08.2008;1281,47;28,80;47,76;219,086
01.09.2008;1216,95;28,85;45,95;218,783
01.10.2008;968,8;28,70;35,59;216,573
01.11.2008;883,04;28,54;25,24;212,425
01.12.2008;877,56;28,39;14,88;210,228
01.01.2009;865,58;28,01;12,21;211,143
01.02.2009;805,23;27,64;9,53;212,193
01.03.2009;757,13;27,26;6,86;212,709
01.04.2009;848,15;26,70;7,08;213,24
01.05.2009;902,41;26,15;7,29;213,856
01.06.2009;926,12;25,59;7,51;215,693
01.07.2009;935,82;25,03;9,19;215,351
01.08.2009;1009,73;24,46;10,86;215,834
01.09.2009;1044,55;23,9;12,54;215,969
01.10.2009;1067,66;23,40;25,35;216,177
01.11.2009;1088,07;22,91;38,16;216,33
01.12.2009;1110,38;22,41;50,97;215,949
01.01.2010;1123,58;22,24;54,29;216,687
01.02.2010;1089,16;22,07;57,61;216,741
01.03.2010;1152,05;21,9;60,93;217,631
01.04.2010;1197,32;21,95;62,99;218,009
01.05.2010;1125,06;21,99;65,04;218,178
01.06.2010;1083,36;22,04;67,1;217,965
01.07.2010;1079,8;22,14;68,69;218,011
01.08.2010;1087,28;22,25;70,27;218,312
01.09.2010;1122,08;22,35;71,86;218,439
01.10.2010;1171,58;22,48;73,69;218,711
01.11.2010;1198,89;22,60;75,52;218,803
01.12.2010;1241,53;22,73;77,35;219,179
01.01.2011;1282,62;22,96;78,67;220,223
01.02.2011;1321,12;23,20;79,99;221,309
01.03.2011;1304,49;23,43;81,31;223,467
01.04.2011;1331,51;23,73;82,16;224,906
01.05.2011;1338,31;24,04;83,02;225,964
01.06.2011;1287,29;24,34;83,87;225,722
01.07.2011;1325,19;24,62;84,91;225,922
01.08.2011;1185,31;24,90;85,94;226,545
01.09.2011;1173,88;25,18;86,98;226,889
01.10.2011;1207,22;25,60;86,97;226,421
01.11.2011;1226,42;26,01;86,96;226,23
01.12.2011;1243,32;26,43;86,95;225,672
01.01.2012;1300,58;26,74;87,48;226,665
01.02.2012;1352,49;27,04;88,01;227,663
01.03.2012;1389,24;27,35;88,54;229,392
01.04.2012;1386,43;27,67;88,33;230,085
01.05.2012;1341,27;28,00;88,13;229,815
01.06.2012;1323,48;28,32;87,92;229,478
01.07.2012;1359,78;28,74;87,45;229,104
01.08.2012;1403,45;29,17;86,97;230,379
01.09.2012;1443,42;29,59;86,5;231,407
01.10.2012;1437,82;30,14;86,50;231,317
01.11.2012;1394,51;30,70;86,51;230,221
01.12.2012;1422,29;31,25;86,51;229,601
01.01.2013;1480,4;31,54;86,91;230,28
01.02.2013;1512,31;31,82;87,30;232,166
01.03.2013;1550,83;32,11;87,7;232,773
01.04.2013;1570,7;32,50;88,78;232,531
01.05.2013;1639,84;32,88;89,87;232,945
01.06.2013;1618,77;33,27;90,95;233,504
01.07.2013;1668,68;33,65;92,09;233,596
01.08.2013;1670,09;34,02;93,23;233,877
01.09.2013;1687,17;34,4;94,37;234,149
01.10.2013;1720,03;34,60;96,31;233,546
01.11.2013;1783,54;34,79;98,26;233,069
01.12.2013;1807,78;34,99;100,2;233,049
01.01.2014;1822,36;35,40;100,42;233,916
01.02.2014;1817,04;35,82;100,63;234,781
01.03.2014;1863,52;36,23;100,85;236,293
01.04.2014;1864,26;36,61;101,61;237,072
01.05.2014;1889,77;37,00;102,36;237,9
01.06.2014;1947,09;37,38;103,12;238,343
01.07.2014;1973,1;37,75;104,07;238,25
01.08.2014;1961,53;38,12;105,01;237,852
01.09.2014;1993,23;38,49;105,96;238,031
01.10.2014;1937,27;38,81;104,74;237,433
01.11.2014;2044,57;39,12;103,53;236,151
01.12.2014;2054,27;39,44;102,31;234,812
01.01.2015;2028,18;39,90;101,29;233,707
01.02.2015;2082,2;40,35;100,27;234,722
01.03.2015;2079,99;40,81;99,25;236,119
01.04.2015;2094,86;41,12;97,80;236,599
01.05.2015;2111,94;41,43;96,36;237,805
01.06.2015;2099,29;41,74;94,91;238,638
01.07.2015;2094,14;42,00;93,49;238,654
01.08.2015;2039,87;42,25;92,08;238,316
01.09.2015;1944,41;42,51;90,66;237,945
01.10.2015;2024,81;42,80;89,28;237,838
01.11.2015;2080,62;43,10;87,91;237,336
01.12.2015;2054,08;43,39;86,53;236,525
01.01.2016;1918,6;43,55;86,50;236,916
01.02.2016;1904,42;43,72;86,47;237,111
01.03.2016;2021,95;43,88;86,44;238,132
01.04.2016;2075,54;44,07;86,60;239,261
01.05.2016;2065,55;44,27;86,76;240,229
01.06.2016;2083,89;44,46;86,92;241,018
01.07.2016;2148,9;44,65;87,64;240,628
01.08.2016;2170,95;44,84;88,37;240,849
01.09.2016;2157,69;45,03;89,09;241,428
01.10.2016;2143,02;45,25;90,91;241,729
01.11.2016;2164,99;45,48;92,73;241,353
01.12.2016;2246,63;45,7;94,55;241,432
01.01.2017;2275,12;45,93;96,46;242,839
01.02.2017;2329,91;46,15;98,38;243,603
01.03.2017;2366,82;46,38;100,29;243,801
01.04.2017;2359,31;46,66;101,53;244,524
01.05.2017;2395,35;46,94;102,78;244,733
01.06.2017;2433,99;47,22;104,02;244,955
01.07.2017;2454,1;47,54;105,04;244,786
01.08.2017;2456,22;47,85;106,06;245,519
01.09.2017;2492,84;48,17;107,08;246,819
01.10.2017;2557;48,42;108,01;246,663
01.11.2017;2593,61;48,68;108,95;246,669
01.12.2017;2664,34;48,93;109,88;246,524
01.01.2018;2789,8;49,29;111,73;247,867
01.02.2018;2705,16;49,64;113,59;248,991
01.03.2018;2702,77;50;115,44;249,554
